question,answer
"What is your return policy?","You can return a product within 7 days of delivery. Please make sure the product is unused and in its original packaging."
"How can I return a product?","You can return a product from the My Orders section by selecting the Return Product option."
"I want to return my product","You can return a product from the My Orders section by selecting the Return Product option."
"I want to send my item back","You can return a product from the My Orders section by selecting the Return Product option."
"How do I send a product back?","You can return a product from the My Orders section by selecting the Return Product option."
"Can I return my order?","You can return a product within 7 days of delivery. Please make sure the product is unused and in its original packaging."
"How long does delivery take?","Standard delivery usually takes 3 to 5 business days."
"How many days does shipping take?","Standard delivery usually takes 3 to 5 business days."
"When will my order arrive?","Standard delivery usually takes 3 to 5 business days."
"How fast is delivery?","Standard delivery usually takes 3 to 5 business days."
"Where is my order?","You can track your order from the My Orders section of your account."
"How can I track my order?","You can track your order from the My Orders section of your account."
"Where can I track my order?","You can track your order from the My Orders section of your account."
"Can I cancel my order?","Yes, you can cancel your order before it is shipped."
"How do I cancel my order?","Yes, you can cancel your order before it is shipped."
"What payment methods are available?","We accept credit cards, debit cards, UPI, net banking and other supported payment methods."
"How can I pay for my order?","We accept credit cards, debit cards, UPI, net banking and other supported payment methods."
"Can I pay using UPI?","Yes, UPI is one of our supported payment methods."
"Do you accept UPI?","Yes, UPI is one of our supported payment methods."
"Can I pay by UPI?","Yes, UPI is one of our supported payment methods."
"Is cash on delivery available?","Yes, cash on delivery is available for selected locations and products."
"Can I pay cash on delivery?","Yes, cash on delivery is available for selected locations and products."
"How can I contact customer support?","You can contact customer support through the Help and Support section."
"How do I contact support?","You can contact customer support through the Help and Support section."
"What should I do if I receive a damaged product?","Please contact customer support and provide photographs of the damaged product."
"My product arrived damaged","Please contact customer support and provide photographs of the damaged product."
"Can I change my delivery address?","You can change the delivery address before the order is shipped."
"How do I change my delivery address?","You can change the delivery address before the order is shipped."
"How can I create an account?","Click the Sign Up option and provide your basic details to create an account."
"How do I sign up?","Click the Sign Up option and provide your basic details to create an account."
"Do I need an account to place an order?","An account is recommended for tracking and managing your orders."
"Is an account required to order?","An account is recommended for tracking and managing your orders."
"How can I reset my password?","Click Forgot Password on the login page and follow the instructions."
"I forgot my password","Click Forgot Password on the login page and follow the instructions."
"When will I receive my refund?","Refunds are generally processed after the returned product is received and verified."
"How long does a refund take?","Refunds are generally processed after the returned product is received and verified."
